,molecule_chembl_id,IC50,units,smiles,pIC50
131,CHEMBL3952770,0.31,nM,O=C(O)C(F)(F)F.O=c1[nH]nc([C@]2(Cc3cccc(Nc4cc[nH]n4)n3)CC[C@@H]([S+]([O-])c3cccc(Cl)c3Cl)CC2)o1,9.508638306165727
132,CHEMBL3680558,0.31,nM,CNCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(O)c2cc(C3CC3)n[nH]2)c1,9.508638306165727
133,CHEMBL3680533,0.31,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Nc2cc(C(F)(F)F)ccn2)c1,9.508638306165727
134,CHEMBL3685266,0.31,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4c(F)cccc4F)c3)ncnc12,9.508638306165727
135,CHEMBL3685257,0.31,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1OC,9.508638306165727
136,CHEMBL3680394,0.32,nM,CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,9.494850021680094
137,CHEMBL3670499,0.32,nM,NC(=O)c1cc(O)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,9.494850021680094
138,CHEMBL3675447,0.33,nM,CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)nc2)c1,9.481486060122112
139,CHEMBL3685295,0.33,nM,COc1ccc(C(=O)Nc2cccc([C@@H](CCN3CCCCC3)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.481486060122112
140,CHEMBL3685267,0.33,nM,COc1ccc(C(=O)Nc2cc(CNc3ncnc4c(C(N)=O)cccc34)ccc2C)cc1,9.481486060122112
141,CHEMBL3680559,0.33,nM,NC(=O)c1cccc2c(NC(CCN3CCCC3)c3cccc(NC(=O)c4cc(C5CC5)n[nH]4)c3)ncnc12,9.481486060122112
142,CHEMBL3675453,0.34,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cncc(N5CCCC5)c4)c3)ncnc12,9.468521082957745
