,Nome,SMILES,SMILES_Canonic
8856,"NUBBE_1301 # 2'-hydroxy-3,4,4',5-tetramethoxy-5',6'-(2'', 2''-dimethylpyrano)-chalcone",Oc1c(C(=O)/C=C/c2cc(OC)c(c(c2)OC)OC)c2OC(C=Cc2c(c1)OC)(C)C,COc1cc(O)c(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c2c1C=CC(C)(C)O2
8857,"NUBBE_1302 # 2'-hydroxy-4,4'-dimethoxy-5',6'-(2'',2''-dimethylpyrano)-chalcone",Oc1c(C(=O)/C=C/c2ccc(cc2)OC)c2OC(C=Cc2c(c1)OC)(C)C,COc1ccc(/C=C/C(=O)c2c(O)cc(OC)c3c2OC(C)(C)C=C3)cc1
8858,"NUBBE_1303 # 2'-hydroxy-3,4,4'-trimethoxy-5',6'-(2'',2''-dimethylpyrano)-chalcone",Oc1cc(OC)c2c(c1C(=O)/C=C/c1ccc(c(c1)OC)OC)OC(C=C2)(C)C,COc1ccc(/C=C/C(=O)c2c(O)cc(OC)c3c2OC(C)(C)C=C3)cc1OC
8859,"NUBBE_1304 # (8S,8R)-4'-Hydroxy-3'-methoxy-3,4-methylenedioxy-7-oxo-8,8'-neolignan",Oc1ccc(cc1OC)C[C@@H]([C@H](C)C(=O)c1ccc2c(c1)OCO2)C,COc1cc(C[C@H](C)[C@H](C)C(=O)c2ccc3c(c2)OCO3)ccc1O
8860,"NUBBE_1305 # 3',4'-methylenedioxy-5,7-dimethoxyflavone",c1c(OC)cc(c2c1OC(=CC2=O)c1ccc2c(c1)OCO2)OC,COc1cc(OC)c2c(=O)cc(-c3ccc4c(c3)OCO4)oc2c1
8861,"NUBBE_1306 # 3',4',7,8-tetramethoxy-5,6-(2'',2''-dimethylpyrano)-flavone",c1cc(cc(c1OC)OC)C1=CC(=O)c2c(O1)c(OC)c(OC)c1c2OC(C=C1)(C)C,COc1ccc(-c2cc(=O)c3c4c(c(OC)c(OC)c3o2)C=CC(C)(C)O4)cc1OC
8862,"NUBBE_1307 # 5,6,7,3',4',5'-hexamethoxyflavone",O=C1c2c(OC(=C1)c1cc(OC)c(c(c1)OC)OC)cc(c(c2OC)OC)OC,COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc(OC)c1OC
8863,"NUBBE_1308 # 3',4',5',3,5,7,8-heptamethoxyflavone",c1c(OC)c(OC)c(cc1C1=C(OC)C(=O)c2c(O1)c(OC)c(OC)cc2OC)OC,COc1cc(-c2oc3c(OC)c(OC)cc(OC)c3c(=O)c2OC)cc(OC)c1OC
8864,"NUBBE_1309 # 3',4',5',5,7,8-hexamethoxyflavone",c1c(OC)c(OC)c(cc1C1=CC(=O)c2c(O1)c(OC)c(OC)cc2OC)OC,COc1cc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3o2)cc(OC)c1OC
8865,NUBBE_130 # 3-O-β-D-(6'-methyl)-glucopyranosyl-28-O-β-D-glucopyranosyl-oleanate,O[C@H]1[C@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@]2([C@@H]3CC=C3[C@@]2(CC[C@]2([C@H]3CC(CC2)(C)C)C(=O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)O[C@@H]([C@H]([C@@H]1O)O)COC,COC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@@]6(C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@@]4(C)CC[C@H]3C2(C)C)[C@H](O)[C@@H](O)[C@@H]1O
8866,"NUBBE_1310 # 5-hydroxy-3',4',5',3,7,8-hexamethoxyflavonol",Oc1c2C(=O)C(=C(Oc2c(c(c1)OC)OC)c1cc(OC)c(c(c1)OC)OC)OC,COc1cc(-c2oc3c(OC)c(OC)cc(O)c3c(=O)c2OC)cc(OC)c1OC
8867,"NUBBE_1311 # 8-hydroxy-3,5,7,3',4',5'-hexamethoxyflavonol",Oc1c2OC(=C(C(=O)c2c(cc1OC)OC)OC)c1cc(OC)c(c(c1)OC)OC,COc1cc(-c2oc3c(O)c(OC)cc(OC)c3c(=O)c2OC)cc(OC)c1OC
8868,"NUBBE_1312 # 3,5,6,7,3',4',5'-heptamethoxyflavonol",O=C1c2c(OC(=C1OC)c1cc(OC)c(c(c1)OC)OC)cc(c(c2OC)OC)OC,COc1cc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc(OC)c1OC
8869,NUBBE_1313 # Lanceolatin B,c1ccc(cc1)C1=CC(=O)c2c(O1)c1ccoc1cc2,O=c1cc(-c2ccccc2)oc2c1ccc1occc12
8870,NUBBE_1314 # Karanjin,c1ccc(cc1)C1=C(OC)C(=O)c2c(O1)c1ccoc1cc2,COc1c(-c2ccccc2)oc2c(ccc3occc32)c1=O
