,molecule_chembl_id,IC50,units,smiles,pIC50
131,CHEMBL358264,40.0,nM,O=C(OCC(Cc1ccc(O)cc1)NS(=O)(=O)c1ccccc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,7.3979400086720375
132,CHEMBL312067,40.0,nM,CNC(=O)C1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,7.3979400086720375
133,CHEMBL1099371,40.0,nM,COCCNCc1cccc(/C=C/c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2C)c1,7.3979400086720375
134,CHEMBL493987,41.0,nM,CN1CCN(CCOc2ccc(-c3cncc(C#N)c3Nc3cccc4[nH]ccc34)cc2)CC1,7.3872161432802645
135,CHEMBL1095682,41.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCN(CCO)CC3)c2)ccc2[nH]ccc12,7.3872161432802645
136,CHEMBL568457,41.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(OCCN3CCN(C)CC3)cc2)ccc2[nH]ccc12,7.3872161432802645
137,CHEMBL1088738,43.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCC(O)CC3)n2)ccc2[nH]ccc12,7.366531544420414
138,CHEMBL596413,43.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCN(C)CC2)ccc2[nH]ccc12,7.366531544420414
139,CHEMBL569796,43.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCCC4)ccc3o2)ccc2[nH]ccc12,7.366531544420414
140,CHEMBL571784,44.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN(C)C)ccc3o2)ccc2[nH]ccc12,7.356547323513812
141,CHEMBL2147538,44.0,nM,CC(C)(N)CNc1nc(-c2ccncc2)cc2cnccc12,7.356547323513812
142,CHEMBL1087425,45.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(CN3CCC(O)CC3)cc2)ccc2[nH]ccc12,7.346787486224656
143,CHEMBL570865,45.0,nM,C#Cc1cccc(-c2ccc(CN3CCN(C)CC3)o2)c1Cc1ccc2c(c1C)C=CC2,7.346787486224656
144,CHEMBL1086178,45.0,nM,COCCNCc1ccc(/C=C/c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2C)cc1,7.346787486224656
